gpu_id,cmd_index,total_cmds,return_code,elapsed_sec,started_at,dry_run,log_path,command
0,1,1,0,238.11,2026-03-18 13:39:19,0,logs/multi_gpu_queue/20260318_133919/gpu_0/cmd_001.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,1,2,0,302.674,2026-03-18 13:39:19,0,logs/multi_gpu_queue/20260318_133919/gpu_1/cmd_001.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,2,2,0,135.642,2026-03-18 13:44:22,0,logs/multi_gpu_queue/20260318_133919/gpu_1/cmd_002.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
2,1,2,0,255.723,2026-03-18 13:39:19,0,logs/multi_gpu_queue/20260318_133919/gpu_2/cmd_001.log,python train_hybrid.py --data_name pushpins --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
2,2,2,0,145.922,2026-03-18 13:43:35,0,logs/multi_gpu_queue/20260318_133919/gpu_2/cmd_002.log,python train_hybrid.py --data_name banana_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
3,1,4,0,144.732,2026-03-18 13:39:19,0,logs/multi_gpu_queue/20260318_133919/gpu_3/cmd_001.log,python train_hybrid.py --data_name cherry_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
3,2,4,0,142.611,2026-03-18 13:41:44,0,logs/multi_gpu_queue/20260318_133919/gpu_3/cmd_002.log,python train_hybrid.py --data_name blue_splicing --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
3,3,4,0,238.592,2026-03-18 13:44:06,0,logs/multi_gpu_queue/20260318_133919/gpu_3/cmd_003.log,python train_hybrid.py --data_name red_splicing --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
3,4,4,0,230.194,2026-03-18 13:48:05,0,logs/multi_gpu_queue/20260318_133919/gpu_3/cmd_004.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
