task_id,task_name,base_index,repeat_index,repeat_total,gpu_id,return_code,elapsed_sec,started_at,dry_run,log_path,command
1,cable_promptad,1,1,5,0,0,124.337,2026-03-29 10:43:15,0,logs/multi_gpu_work_queue/20260329_104315/gpu_0/task_0001.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
2,cable_promptad,1,2,5,1,0,136.362,2026-03-29 10:43:15,0,logs/multi_gpu_work_queue/20260329_104315/gpu_1/task_0002.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
3,cable_promptad,1,3,5,2,0,195.929,2026-03-29 10:43:15,0,logs/multi_gpu_work_queue/20260329_104315/gpu_2/task_0003.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
4,cable_promptad,1,4,5,3,0,194.627,2026-03-29 10:43:15,0,logs/multi_gpu_work_queue/20260329_104315/gpu_3/task_0004.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
5,cable_promptad,1,5,5,0,0,187.701,2026-03-29 10:45:19,0,logs/multi_gpu_work_queue/20260329_104315/gpu_0/task_0005.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
6,cable_winclip,2,1,10,1,0,238.728,2026-03-29 10:45:31,0,logs/multi_gpu_work_queue/20260329_104315/gpu_1/task_0006.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
7,cable_winclip,2,2,10,3,0,203.68,2026-03-29 10:46:30,0,logs/multi_gpu_work_queue/20260329_104315/gpu_3/task_0007.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
8,cable_winclip,2,3,10,2,0,190.327,2026-03-29 10:46:31,0,logs/multi_gpu_work_queue/20260329_104315/gpu_2/task_0008.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
9,cable_winclip,2,4,10,0,0,249.551,2026-03-29 10:48:27,0,logs/multi_gpu_work_queue/20260329_104315/gpu_0/task_0009.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
10,cable_winclip,2,5,10,1,0,246.08,2026-03-29 10:49:30,0,logs/multi_gpu_work_queue/20260329_104315/gpu_1/task_0010.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
11,cable_winclip,2,6,10,2,0,240.379,2026-03-29 10:49:41,0,logs/multi_gpu_work_queue/20260329_104315/gpu_2/task_0011.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
12,cable_winclip,2,7,10,3,0,239.686,2026-03-29 10:49:53,0,logs/multi_gpu_work_queue/20260329_104315/gpu_3/task_0012.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
13,cable_winclip,2,8,10,0,0,190.207,2026-03-29 10:52:37,0,logs/multi_gpu_work_queue/20260329_104315/gpu_0/task_0013.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
14,cable_winclip,2,9,10,1,0,237.185,2026-03-29 10:53:36,0,logs/multi_gpu_work_queue/20260329_104315/gpu_1/task_0014.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
15,cable_winclip,2,10,10,2,0,242.062,2026-03-29 10:53:42,0,logs/multi_gpu_work_queue/20260329_104315/gpu_2/task_0015.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
16,cable_promptad,3,1,5,3,0,133.762,2026-03-29 10:53:53,0,logs/multi_gpu_work_queue/20260329_104315/gpu_3/task_0016.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
17,cable_promptad,3,2,5,0,0,171.744,2026-03-29 10:55:47,0,logs/multi_gpu_work_queue/20260329_104315/gpu_0/task_0017.log,python train_hybrid.py --data_name cable --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
