result_date,data_name,hybrid_model,shot,run_count,best_la_auc,hybrid_only_la_auc,best_la_aupc,hybrid_only_la_auprc,best_la_f1,hybrid_only_la_f1
2026-03-18,breakfast,promptad,1,10,0.8374616111504842,0.7303862508858965,0.8300853210927844,0.7273729557103887,0.8412911596373333,0.780259386072894
2026-03-18,breakfast,promptad,5,10,0.8788034490904796,0.7614989369241673,0.8753549449466445,0.7491583994923001,0.8676120079503706,0.8000303285392955
2026-03-18,breakfast,winclip,1,10,0.830297661233168,0.6656390266950154,0.822021677149942,0.6666551574221022,0.8428973014506465,0.7649799826432395
2026-03-18,breakfast,winclip,5,11,0.8461170886755578,0.6657431866503447,0.8465921109522037,0.6647812619304374,0.8436446069339252,0.7687125161068266
2026-03-18,banana_juice,promptad,1,10,0.8505827505827506,0.8720571095571096,0.7394361252347179,0.7230033729582,0.7663893117872056,0.8157155129302541
2026-03-18,banana_juice,promptad,5,10,0.9009324009324009,0.8997960372960373,0.8450910308660194,0.7927741842505822,0.8133923925163309,0.8285863569322702
2026-03-18,banana_juice,winclip,1,10,0.8378787878787879,0.6535547785547785,0.7481007387216512,0.4485471934902856,0.7623298411778944,0.6599690836730732
2026-03-18,banana_juice,winclip,5,11,0.8850921805467261,0.6970756516211062,0.8062815124519404,0.4823392924113261,0.8100613296857364,0.6800933575374469
2026-03-18,orange_juice,promptad,1,10,0.817030260380014,0.8178043631245602,0.7185058932933834,0.6569817412441411,0.7311491884239149,0.7509783902139558
2026-03-18,orange_juice,promptad,5,10,0.9047149894440535,0.8647783251231527,0.8315153391867753,0.7171794727006153,0.8129113762613406,0.7823327114503585
2026-03-18,orange_juice,winclip,1,10,0.8313863476425052,0.5807881773399015,0.717502670937215,0.37324355036012363,0.7602021305928621,0.6386371008792426
2026-03-18,orange_juice,winclip,5,11,0.8633484741859125,0.6338685944597274,0.74413337949034,0.4040941710079709,0.7865872048948898,0.6572032245829038
2026-03-18,cherry_juice,promptad,1,10,0.8684451219512195,0.8190548780487804,0.831420041352526,0.7005003453258571,0.8093326101162939,0.8042232547001904
