result_date,data_name,hybrid_model,shot,run_count,best_la_auc,hybrid_only_la_auc,best_la_aupc,hybrid_only_la_auprc,best_la_f1,hybrid_only_la_f1
2026-03-18,breakfast,promptad,1,10,0.8374616111504842,0.7303862508858965,0.8300853210927844,0.7273729557103887,0.8412911596373333,0.780259386072894
2026-03-18,breakfast,promptad,5,10,0.8788034490904796,0.7614989369241673,0.8753549449466445,0.7491583994923001,0.8676120079503706,0.8000303285392955
2026-03-18,breakfast,winclip,1,10,0.830297661233168,0.6656390266950154,0.822021677149942,0.6666551574221022,0.8428973014506465,0.7649799826432395
2026-03-18,breakfast,winclip,5,11,0.8461170886755578,0.6657431866503447,0.8465921109522037,0.6647812619304374,0.8436446069339252,0.7687125161068266
2026-03-18,juice,promptad,1,30,0.845352710971328,0.8363054502434834,0.7631206866268757,0.6934951531760661,0.7689570367758047,0.7903057192814668
2026-03-18,juice,promptad,5,30,0.9084119350035336,0.8733032427576162,0.853629278437684,0.750938638720441,0.8306703473206841,0.8128987024482487
2026-03-18,juice,winclip,1,30,0.8543129720030327,0.6628958226966007,0.7711853088365991,0.4826829114047803,0.790795395731605,0.6811447163002562
2026-03-18,juice,winclip,5,33,0.8895393461082188,0.7100006319160798,0.8089047086912309,0.5178481860501443,0.8251061171971484,0.7032097655081734
2026-03-18,screw_bag,promptad,1,10,0.5899994016991743,0.5758795022137131,0.5644296539987135,0.5158655723226133,0.6555141970414413,0.6543841557169887
2026-03-18,screw_bag,promptad,5,11,0.6349739467185919,0.6232690069294115,0.5955623314279692,0.5633096914426126,0.6612089621737096,0.6689692164210578
2026-03-18,screw_bag,winclip,1,10,0.5936490367356707,0.5503320569582385,0.5775907031332037,0.5199108483167377,0.6531147528633116,0.6438175786241515
2026-03-18,screw_bag,winclip,5,11,0.6066226462301608,0.5599279863369847,0.5899524842134082,0.5247055544694953,0.6522721722433918,0.645022873141429
2026-03-18,splicing,promptad,1,30,0.7459815624304541,0.7206745565600244,0.7376165395977297,0.7049584259632297,0.7956997140847452,0.7869622417040855
