task_id,task_name,base_index,repeat_index,repeat_total,gpu_id,return_code,elapsed_sec,started_at,dry_run,log_path,command
1,breakfast_promptad,1,1,10,0,0,219.719,2026-03-19 09:23:25,0,logs/multi_gpu_work_queue/20260319_092325/gpu_0/task_0001.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
2,breakfast_promptad,1,2,10,1,0,182.041,2026-03-19 09:23:25,0,logs/multi_gpu_work_queue/20260319_092325/gpu_1/task_0002.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
3,breakfast_promptad,1,3,10,2,0,288.511,2026-03-19 09:23:25,0,logs/multi_gpu_work_queue/20260319_092325/gpu_2/task_0003.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
4,breakfast_promptad,1,4,10,3,0,161.343,2026-03-19 09:23:25,0,logs/multi_gpu_work_queue/20260319_092325/gpu_3/task_0004.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
5,breakfast_promptad,1,5,10,3,0,155.331,2026-03-19 09:26:06,0,logs/multi_gpu_work_queue/20260319_092325/gpu_3/task_0005.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
6,breakfast_promptad,1,6,10,1,0,167.036,2026-03-19 09:26:27,0,logs/multi_gpu_work_queue/20260319_092325/gpu_1/task_0006.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
7,breakfast_promptad,1,7,10,0,0,153.409,2026-03-19 09:27:05,0,logs/multi_gpu_work_queue/20260319_092325/gpu_0/task_0007.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
8,breakfast_promptad,1,8,10,2,0,286.953,2026-03-19 09:28:13,0,logs/multi_gpu_work_queue/20260319_092325/gpu_2/task_0008.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
9,breakfast_promptad,1,9,10,3,0,282.303,2026-03-19 09:28:42,0,logs/multi_gpu_work_queue/20260319_092325/gpu_3/task_0009.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
10,breakfast_promptad,1,10,10,1,0,287.156,2026-03-19 09:29:14,0,logs/multi_gpu_work_queue/20260319_092325/gpu_1/task_0010.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
11,breakfast_winclip,2,1,10,0,0,255.085,2026-03-19 09:29:38,0,logs/multi_gpu_work_queue/20260319_092325/gpu_0/task_0011.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
12,breakfast_winclip,2,2,10,2,0,241.229,2026-03-19 09:33:00,0,logs/multi_gpu_work_queue/20260319_092325/gpu_2/task_0012.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
13,breakfast_winclip,2,3,10,3,0,231.395,2026-03-19 09:33:24,0,logs/multi_gpu_work_queue/20260319_092325/gpu_3/task_0013.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
14,breakfast_winclip,2,4,10,0,0,250.773,2026-03-19 09:33:53,0,logs/multi_gpu_work_queue/20260319_092325/gpu_0/task_0014.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
15,breakfast_winclip,2,5,10,1,0,384.162,2026-03-19 09:34:01,0,logs/multi_gpu_work_queue/20260319_092325/gpu_1/task_0015.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
16,breakfast_winclip,2,6,10,2,0,251.564,2026-03-19 09:37:02,0,logs/multi_gpu_work_queue/20260319_092325/gpu_2/task_0016.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
