gpu_id,cmd_index,total_cmds,return_code,elapsed_sec,started_at,dry_run,log_path,command
0,19,20,0,186.63,2026-03-18 15:09:07,0,logs/multi_gpu_queue/20260318_140155/gpu_0/cmd_019.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
0,20,20,0,188.32,2026-03-18 15:12:14,0,logs/multi_gpu_queue/20260318_140155/gpu_0/cmd_020.log,python train_hybrid.py --data_name breakfast --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,1,40,0,300.666,2026-03-18 14:01:55,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_001.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,2,40,0,290.71,2026-03-18 14:06:56,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_002.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,3,40,0,312.747,2026-03-18 14:11:46,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_003.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,4,40,0,296.253,2026-03-18 14:16:59,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_004.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,5,40,0,289.529,2026-03-18 14:21:55,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_005.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,6,40,0,354.886,2026-03-18 14:26:45,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_006.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,7,40,0,313.665,2026-03-18 14:32:40,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_007.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,8,40,0,315.106,2026-03-18 14:37:54,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_008.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
